,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
15833,اباذر,83,1393,43976000.0,2,1.0,1.0,1.0,1,1,11
15834,اباذر,85,1390,43529000.0,2,1.0,1.0,1.0,3,3,11
15835,اباذر,196,1383,44898000.0,5,1.0,1.0,1.0,1,1,11
15836,اباذر,97,1393,49485000.0,2,1.0,1.0,1.0,4,4,11
15837,اباذر,84,1389,45833000.0,2,1.0,1.0,1.0,1,5,11
15838,اباذر,118,1390,47839000.0,2,1.0,1.0,1.0,4,4,11
15839,اباذر,74,1385,44595000.0,2,1.0,1.0,1.0,3,3,11
15841,اباذر,118,1400,70000000.0,3,1.0,1.0,1.0,1,1,11
15842,اباذر,92,1400,65217000.0,2,1.0,1.0,1.0,4,4,11
15843,اباذر,110,1393,52727000.0,2,1.0,1.0,1.0,3,5,11
15844,اباذر,79,1388,48101000.0,2,1.0,1.0,1.0,1,1,11
15845,اباذر,90,1381,47500000.0,2,1.0,1.0,1.0,5,5,11
15846,اباذر,96,1391,62500000.0,2,1.0,1.0,1.0,4,9,11
15847,اباذر,60,1386,41667000.0,2,1.0,1.0,1.0,4,4,11
15848,اباذر,130,1398,60000000.0,3,1.0,1.0,1.0,1,1,11
15849,اباذر,155,1382,49032000.0,3,1.0,1.0,1.0,2,5,11
15850,اباذر,215,1385,45116000.0,3,1.0,1.0,1.0,4,4,11
15851,اباذر,206,1399,68932000.0,3,1.0,1.0,1.0,3,5,11
15852,اباذر,115,1400,70435000.0,2,1.0,1.0,1.0,1,5,11
15853,اباذر,104,1395,51923000.0,2,1.0,1.0,1.0,1,1,11
15854,اباذر,109,1392,43670000.0,2,1.0,1.0,1.0,1,1,11
15856,اباذر,88,1394,55682000.0,2,1.0,1.0,1.0,5,5,11
15857,اباذر,90,1385,50000000.0,2,1.0,1.0,1.0,3,3,11
15858,اباذر,77,1385,42857000.0,2,1.0,1.0,1.0,1,1,11
15859,اباذر,115,1397,53478000.0,2,1.0,1.0,1.0,4,5,11
15860,اباذر,62,1396,48387000.0,1,1.0,1.0,1.0,2,2,11
15861,اباذر,60,1384,40833000.0,1,1.0,0.0,1.0,1,1,11
15862,اباذر,62,1394,48387000.0,1,1.0,1.0,1.0,2,5,11
15863,اباذر,104,1380,33942000.0,2,0.0,1.0,1.0,4,4,11
15864,اباذر,120,1385,45000000.0,2,1.0,1.0,1.0,5,5,11
15865,اباذر,77,1385,44805000.0,2,1.0,1.0,1.0,5,5,11
15866,اباذر,57,1381,43860000.0,1,1.0,1.0,1.0,1,6,11
15867,اباذر,152,1389,37750000.0,3,0.0,1.0,1.0,2,2,11
15868,اباذر,89,1395,54494000.0,2,1.0,1.0,1.0,5,5,11
15869,اباذر,36,1397,56944000.0,1,1.0,1.0,1.0,5,5,11
15870,اباذر,68,1383,31912000.0,2,0.0,1.0,1.0,2,4,11
